run,event_number,shower_start_sf,sum_hit_density_w_sf,sum_qdc_sf,max_qdc_per_sf_plane,n_hits_sf,max_n_hits_per_sf_plane
5154,119031155,2,725,83.70000039972365,39.97000016644597,53,22
5154,119408864,4,1082,5.630000084638596,7.4000001437962055,59,29
5154,122251822,-1,498,16.86000026203692,16.19000032544136,43,20
5154,125413390,-1,185,44.96999963931739,25.189999729394913,36,11
5154,125788222,-1,422,43.48999955877662,24.35000003874302,43,17
5154,129570848,2,625,125.19000035710633,59.46000023186207,48,23
5154,138853298,-1,624,22.72000017389655,17.12000022828579,57,24
5154,139263711,-1,482,20.400000136345625,10.990000486373901,49,19
5154,149550660,5,457,39.73000027611852,28.140000451356173,51,18
5154,153428381,-1,315,33.579999243840575,22.309999680146575,39,13
5154,155822400,1,2080,61.91000045835972,25.520001083612442,96,47
5154,160265748,-1,294,69.25000009685755,22.620000150054693,41,11
5154,160325170,-1,214,55.409999415278435,25.78999951481819,39,12
5154,163897811,-1,714,93.66999951936305,63.890000250190496,73,22
5154,164142944,1,319,30.78999874740839,42.44999937713146,42,15
5154,167134510,-1,247,18.74999970011413,10.369999874383211,37,13
5154,170030774,2,729,-5.649999916553497,10.48000005632639,53,23
5154,171573456,-1,142,25.439999535679817,18.159999892115593,28,9
5154,176260551,-1,207,62.000001007691026,20.420000810176134,36,11
5157,3166193,-1,251,22.480001010000706,8.020000137388706,37,11
5157,11649856,1,326,53.73000067472458,34.42999988421798,49,16
5157,12129014,-1,453,54.81000038981438,22.620000276714563,41,18
5157,13199945,-1,267,56.25999973155558,22.71999992802739,38,10
5157,13581931,-1,273,34.6600002720952,15.200000539422035,41,16
5157,14868765,-1,156,13.350000208243728,8.17000000178814,30,9
5157,21190355,-1,250,19.83999908529222,15.489999802783132,32,9
5157,26498205,-1,254,66.09999942034483,26.649999767541885,41,11
5157,27151707,-1,223,26.999999657273293,14.610000193119049,33,8
5157,30926400,-1,335,56.0800001565367,33.29000022634864,45,15
5157,32440137,-1,114,45.62999977171421,19.21000000834465,27,7
5157,32527894,-1,249,26.119999803602695,9.670000007376075,33,11
5157,38253211,3,1200,-38.01999944448471,8.869999676942825,60,39
5157,46933286,4,964,-0.5599998217076063,12.720000267028809,56,29
5157,47666004,2,947,49.1800018530339,12.720000691711903,75,32
5157,47818481,-1,167,17.800000730901957,9.450000436976552,32,8
5157,49014153,-1,114,40.39000050723553,15.100000590085983,29,8
5157,53961243,-1,481,92.89000028185546,37.76000043749809,40,16
